,ds,y
0,2013-07-01,32488348
1,2013-07-02,29037390
2,2013-07-03,27270770
3,2013-07-04,18321185
4,2013-07-05,11648749
5,2013-07-06,36751272
6,2013-07-07,8962232
7,2013-07-08,57258266
8,2013-07-09,26798941
9,2013-07-10,30696506
10,2013-07-11,44075197
11,2013-07-12,34183904
12,2013-07-13,15164717
13,2013-07-14,22615303
14,2013-07-15,48128555
15,2013-07-16,50622847
16,2013-07-17,29015682
17,2013-07-18,24234505
18,2013-07-19,33680124
19,2013-07-20,20439079
20,2013-07-21,21142394
21,2013-07-22,40448896
22,2013-07-23,58136147
23,2013-07-24,48422518
24,2013-07-25,57433418
25,2013-07-26,44721817
26,2013-07-27,17194451
27,2013-07-28,36255382
28,2013-07-29,53512076
29,2013-07-30,47481243
30,2013-07-31,54569637
31,2013-08-01,53369962
32,2013-08-02,38064536
33,2013-08-03,21595789
34,2013-08-04,45745254
35,2013-08-05,43632203
36,2013-08-06,50866184
37,2013-08-07,43908081
38,2013-08-08,44493490
39,2013-08-09,33425186
40,2013-08-10,20615307
41,2013-08-11,55519543
42,2013-08-12,94520502
43,2013-08-13,48720919
44,2013-08-14,30541167
45,2013-08-15,42421222
46,2013-08-16,41683536
47,2013-08-17,17670519
48,2013-08-18,59703092
49,2013-08-19,109184209
50,2013-08-20,53675509
51,2013-08-21,38184446
52,2013-08-22,89130737
53,2013-08-23,37878575
54,2013-08-24,44367268
55,2013-08-25,43306288
56,2013-08-26,74496541
57,2013-08-27,45268028
58,2013-08-28,46602319
59,2013-08-29,47518666
60,2013-08-30,56488844
61,2013-08-31,47655303
62,2013-09-01,56239802
63,2013-09-02,140844739
64,2013-09-03,80507880
65,2013-09-04,33366708
66,2013-09-05,38716505
67,2013-09-06,38923186
68,2013-09-07,34076183
69,2013-09-08,38796909
70,2013-09-09,49312473
71,2013-09-10,94684143
72,2013-09-11,98944459
73,2013-09-12,68573684
74,2013-09-13,71655946
75,2013-09-14,30975443
76,2013-09-15,37059683
77,2013-09-16,161656210
78,2013-09-17,76204815
79,2013-09-18,42926608
80,2013-09-19,24778048
81,2013-09-20,28365762
82,2013-09-21,32406340
83,2013-09-22,67514169
84,2013-09-23,54658160
85,2013-09-24,74250859
86,2013-09-25,47274168
87,2013-09-26,68718693
88,2013-09-27,42166121
89,2013-09-28,39995798
90,2013-09-29,34433848
91,2013-09-30,28398050
92,2013-10-01,19137499
93,2013-10-02,11562708
94,2013-10-03,10101194
95,2013-10-04,19907689
96,2013-10-05,26364686
97,2013-10-06,38730653
98,2013-10-07,42797733
99,2013-10-08,109806912
100,2013-10-09,72422299
101,2013-10-10,72094613
102,2013-10-11,82674757
103,2013-10-12,81901136
104,2013-10-13,71149981
105,2013-10-14,130315300
106,2013-10-15,85704304
107,2013-10-16,100948091
108,2013-10-17,87203217
109,2013-10-18,98151450
110,2013-10-19,53148443
111,2013-10-20,47766681
112,2013-10-21,106030290
113,2013-10-22,145611496
114,2013-10-23,106093112
115,2013-10-24,69530830
116,2013-10-25,69936453
117,2013-10-26,55752506
118,2013-10-27,68007543
119,2013-10-28,129993375
120,2013-10-29,102050144
121,2013-10-30,109663260
122,2013-10-31,90926701
123,2013-11-01,150904945
124,2013-11-02,62132300
125,2013-11-03,68707870
126,2013-11-04,300027403
127,2013-11-05,180904814
128,2013-11-06,181474910
129,2013-11-07,167963464
130,2013-11-08,231749471
131,2013-11-09,126467028
132,2013-11-10,164813471
133,2013-11-11,147986439
134,2013-11-12,148469647
135,2013-11-13,174554976
136,2013-11-14,167996058
137,2013-11-15,124270704
138,2013-11-16,118085705
139,2013-11-17,111786622
140,2013-11-18,195766477
141,2013-11-19,131365419
142,2013-11-20,166163002
143,2013-11-21,221166938
144,2013-11-22,128528687
145,2013-11-23,89109018
146,2013-11-24,102394991
147,2013-11-25,147143602
148,2013-11-26,258037702
149,2013-11-27,134774128
150,2013-11-28,139760425
151,2013-11-29,122536344
152,2013-11-30,116865492
153,2013-12-01,137889992
154,2013-12-02,345313258
155,2013-12-03,268666856
156,2013-12-04,219456372
157,2013-12-05,190825287
158,2013-12-06,152197159
159,2013-12-07,138882605
160,2013-12-08,124886903
161,2013-12-09,174652812
162,2013-12-10,179471612
163,2013-12-11,239916977
164,2013-12-12,140360007
165,2013-12-13,164672690
166,2013-12-14,129045596
167,2013-12-15,205882387
168,2013-12-16,196489931
169,2013-12-17,193980797
170,2013-12-18,180215804
171,2013-12-19,233631357
172,2013-12-20,133867400
173,2013-12-21,112000779
174,2013-12-22,154543217
175,2013-12-23,198747367
176,2013-12-24,305406334
177,2013-12-25,380076148
178,2013-12-26,220287409
179,2013-12-27,211118967
180,2013-12-28,192808006
181,2013-12-29,161473347
182,2013-12-30,286358778
183,2013-12-31,265851934
184,2014-01-01,330926565
185,2014-01-02,434956739
186,2014-01-03,342074805
187,2014-01-04,186085910
188,2014-01-05,206030707
189,2014-01-06,442494042
190,2014-01-07,589726496
191,2014-01-08,264025160
192,2014-01-09,280698487
193,2014-01-10,237797636
194,2014-01-11,243403438
195,2014-01-12,228255344
196,2014-01-13,447207050
197,2014-01-14,356907128
198,2014-01-15,391408718
199,2014-01-16,374947083
200,2014-01-17,345426853
201,2014-01-18,233200688
202,2014-01-19,185082022
203,2014-01-20,335761027
204,2014-01-21,412854611
205,2014-01-22,498730606
206,2014-01-23,481450097
207,2014-01-24,614103894
208,2014-01-25,440854623
209,2014-01-26,528402520
210,2014-01-27,657199484
211,2014-01-28,843424742
212,2014-01-29,952479658
213,2014-01-30,227916211
214,2014-01-31,87324175
215,2014-02-01,64287172
216,2014-02-02,57912761
217,2014-02-03,84329848
218,2014-02-04,83653646
219,2014-02-05,209043990
220,2014-02-06,227860276
221,2014-02-07,578818221
222,2014-02-08,358255468
223,2014-02-09,341911234
224,2014-02-10,647465140
225,2014-02-11,818803205
226,2014-02-12,763009770
227,2014-02-13,626698794
228,2014-02-14,490710434
229,2014-02-15,255393179
230,2014-02-16,331324628
231,2014-02-17,706118060
232,2014-02-18,593563145
233,2014-02-19,408367966
234,2014-02-20,478925191
235,2014-02-21,353981687
236,2014-02-22,282022706
237,2014-02-23,337053711
238,2014-02-24,656317045
239,2014-02-25,563505889
240,2014-02-26,680801145
241,2014-02-27,672909288
242,2014-02-28,428721754
243,2014-03-01,362865580
244,2014-03-02,276202230
245,2014-03-03,505305862
246,2014-03-04,524146340
247,2014-03-05,454295491
248,2014-03-06,561787770
249,2014-03-07,380139779
250,2014-03-08,243274169
251,2014-03-09,244752519
252,2014-03-10,497338076
253,2014-03-11,430500816
254,2014-03-12,377007897
255,2014-03-13,346286910
256,2014-03-14,315897431
257,2014-03-15,287407002
258,2014-03-16,269387391
259,2014-03-17,339008082
260,2014-03-18,435479117
261,2014-03-19,359014064
262,2014-03-20,365011495
263,2014-03-21,282351818
264,2014-03-22,191700135
265,2014-03-23,167456369
266,2014-03-24,313180334
267,2014-03-25,314345006
268,2014-03-26,272935544
269,2014-03-27,266231082
270,2014-03-28,225966355
271,2014-03-29,160250985
272,2014-03-30,205533934
273,2014-03-31,398884905
274,2014-04-01,453320585
275,2014-04-02,355347118
276,2014-04-03,363877120
277,2014-04-04,251895894
278,2014-04-05,202336542
279,2014-04-06,129477254
280,2014-04-07,196936223
281,2014-04-08,354770149
282,2014-04-09,383347565
283,2014-04-10,386567460
284,2014-04-11,237829882
285,2014-04-12,177642053
286,2014-04-13,208172985
287,2014-04-14,309853269
288,2014-04-15,428681231
289,2014-04-16,387847838
290,2014-04-17,355792647
291,2014-04-18,239300383
292,2014-04-19,268729366
293,2014-04-20,191259529
294,2014-04-21,301134667
295,2014-04-22,285248757
296,2014-04-23,313677307
297,2014-04-24,318358891
298,2014-04-25,220927432
299,2014-04-26,151625415
300,2014-04-27,146837951
301,2014-04-28,324937272
302,2014-04-29,330607104
303,2014-04-30,260091330
304,2014-05-01,193045106
305,2014-05-02,125336258
306,2014-05-03,185094488
307,2014-05-04,303087562
308,2014-05-05,370924149
309,2014-05-06,318002728
310,2014-05-07,417327518
311,2014-05-08,392838756
312,2014-05-09,281479009
313,2014-05-10,287240171
314,2014-05-11,182424063
315,2014-05-12,325108597
316,2014-05-13,275241493
317,2014-05-14,305474522
318,2014-05-15,313367089
319,2014-05-16,231967423
320,2014-05-17,170983868
321,2014-05-18,164419642
322,2014-05-19,259077930
323,2014-05-20,453955303
324,2014-05-21,297799722
325,2014-05-22,344636549
326,2014-05-23,249546195
327,2014-05-24,160073254
328,2014-05-25,166943526
329,2014-05-26,344890868
330,2014-05-27,299049555
331,2014-05-28,276134813
332,2014-05-29,320549863
333,2014-05-30,226547701
334,2014-05-31,146823669
335,2014-06-01,183489775
336,2014-06-02,158219402
337,2014-06-03,270887462
338,2014-06-04,274460744
339,2014-06-05,380042567
340,2014-06-06,301413900
341,2014-06-07,187801995
342,2014-06-08,302171269
343,2014-06-09,366114374
344,2014-06-10,354031597
345,2014-06-11,327661453
346,2014-06-12,332365185
347,2014-06-13,216923770
348,2014-06-14,181574530
349,2014-06-15,166080126
350,2014-06-16,387308484
351,2014-06-17,270350693
352,2014-06-18,335262709
353,2014-06-19,338609087
354,2014-06-20,251582530
355,2014-06-21,177999186
356,2014-06-22,147180819
357,2014-06-23,232227670
358,2014-06-24,245450766
359,2014-06-25,264663201
360,2014-06-26,297628039
361,2014-06-27,264282703
362,2014-06-28,153826161
363,2014-06-29,158801540
364,2014-06-30,334054112
365,2014-07-01,384428753
366,2014-07-02,384555819
367,2014-07-03,297894643
368,2014-07-04,211649838
369,2014-07-05,169383796
370,2014-07-06,199569025
371,2014-07-07,272182847
372,2014-07-08,224240103
373,2014-07-09,278005555
374,2014-07-10,283095921
375,2014-07-11,208671021
376,2014-07-12,177644343
377,2014-07-13,179759885
378,2014-07-14,254797524
379,2014-07-15,334810012
380,2014-07-16,394890140
381,2014-07-17,253011280
382,2014-07-18,208959595
383,2014-07-19,210318023
384,2014-07-20,176449304
385,2014-07-21,378088594
386,2014-07-22,243084133
387,2014-07-23,265461894
388,2014-07-24,277044480
389,2014-07-25,181641088
390,2014-07-26,128268053
391,2014-07-27,151406251
392,2014-07-28,371762756
393,2014-07-29,228093046
394,2014-07-30,209917272
395,2014-07-31,191728916
396,2014-08-01,374884735
397,2014-08-02,189092130
398,2014-08-03,173825397
399,2014-08-04,330640884
400,2014-08-05,394780870
401,2014-08-06,288821016
402,2014-08-07,247646474
403,2014-08-08,233903717
404,2014-08-09,160262764
405,2014-08-10,259534870
406,2014-08-11,331550471
407,2014-08-12,258493673
408,2014-08-13,261506619
409,2014-08-14,257702660
410,2014-08-15,244551620
411,2014-08-16,215059736
412,2014-08-17,149978271
413,2014-08-18,298499146
414,2014-08-19,266401973
415,2014-08-20,308378692
416,2014-08-21,251763517
417,2014-08-22,246316056
418,2014-08-23,141412027
419,2014-08-24,130195484
420,2014-08-25,309574223
421,2014-08-26,306945089
422,2014-08-27,302194801
423,2014-08-28,245082751
424,2014-08-29,267554713
425,2014-08-30,199708772
426,2014-08-31,275090213
